slate_id,corrupted,mode,position,healthy_code,emitted_code
S00018,1,stale_index,1,23298,22960
S00018,1,stale_index,2,85123A,85123A
S00018,1,stale_index,3,23243,22183
S00018,1,stale_index,4,23355,22456
S00018,1,stale_index,5,82483,22502
S00018,1,stale_index,6,23245,22666
S00018,1,stale_index,7,21754,84969
S00018,1,stale_index,8,22138,22697
S00018,1,stale_index,9,22470,47566B
S00018,1,stale_index,10,82482,22499
S00020,0,none,1,23203,23203
S00020,0,none,2,22086,22086
S00020,0,none,3,23319,23319
S00020,0,none,4,22910,22910
S00020,0,none,5,23202,23202
S00020,0,none,6,20725,20725
S00020,0,none,7,23493,23493
S00020,0,none,8,23201,23201
S00020,0,none,9,23247,23247
S00020,0,none,10,21931,21931
S00035,0,none,1,21992,21992
S00035,0,none,2,23198,23198
S00035,0,none,3,20725,20725
S00035,0,none,4,21993,21993
S00035,0,none,5,23263,23263
S00035,0,none,6,85049H,85049H
S00035,0,none,7,21915,21915
S00035,0,none,8,21991,21991
S00035,0,none,9,23301,23301
S00035,0,none,10,23209,23209
S00050,1,stale_index,1,22086,22697
S00050,1,stale_index,2,22866,85099B
S00050,1,stale_index,3,22457,22666
S00050,1,stale_index,4,82494L,22090
S00050,1,stale_index,5,22699,82482
S00050,1,stale_index,6,23322,22457
S00050,1,stale_index,7,22666,47566
S00050,1,stale_index,8,22804,20914
S00050,1,stale_index,9,85099B,22084
S00050,1,stale_index,10,20914,22699
S00061,0,none,1,85099B,85099B
S00061,0,none,2,22865,22865
S00061,0,none,3,20725,20725
S00061,0,none,4,23203,23203
S00061,0,none,5,22469,22469
S00061,0,none,6,23323,23323
S00061,0,none,7,21733,21733
S00061,0,none,8,22086,22086
S00061,0,none,9,23209,23209
S00061,0,none,10,22077,22077
S00070,0,none,1,20724,20724
S00070,0,none,2,23199,23199
S00070,0,none,3,22554,22554
S00070,0,none,4,23209,23209
S00070,0,none,5,20712,20712
S00070,0,none,6,21931,21931
S00070,0,none,7,22386,22386
S00070,0,none,8,20728,20728
S00070,0,none,9,23201,23201
S00070,0,none,10,23203,23203
S00071,0,none,1,23198,23198
S00071,0,none,2,23264,23264
S00071,0,none,3,23300,23300
S00071,0,none,4,22469,22469
S00071,0,none,5,21990,21990
S00071,0,none,6,35970,35970
S00071,0,none,7,23209,23209
S00071,0,none,8,21914,21914
S00071,0,none,9,23157,23157
S00071,0,none,10,22074,22074
S00091,1,stale_index,1,22147,22271
S00091,1,stale_index,2,22150,22150
S00091,1,stale_index,3,22271,20967
S00091,1,stale_index,4,22749,22147
S00091,1,stale_index,5,22273,22148
S00091,1,stale_index,6,22077,22274
S00091,1,stale_index,7,22653,22749
S00091,1,stale_index,8,22739,85099B
S00091,1,stale_index,9,22940,22273
S00091,1,stale_index,10,22750,90114
S00095,1,price_band_shift,1,23355,23355
S00095,1,price_band_shift,2,22086,23284
S00095,1,price_band_shift,3,22835,22835
S00095,1,price_band_shift,4,85123A,48187
S00095,1,price_band_shift,5,23322,23118
S00095,1,price_band_shift,6,22910,22690
S00095,1,price_band_shift,7,23129,21523
S00095,1,price_band_shift,8,84030E,48129
S00095,1,price_band_shift,9,82494L,48188
S00095,1,price_band_shift,10,21479,22689
S00097,0,none,1,20725,20725
S00097,0,none,2,22390,22390
S00097,0,none,3,72800E,72800E
S00097,0,none,4,22150,22150
S00097,0,none,5,22652,22652
S00097,0,none,6,82582,82582
S00097,0,none,7,22964,22964
S00097,0,none,8,15060B,15060B
S00097,0,none,9,35970,35970
S00097,0,none,10,22173,22173
S00098,0,none,1,22720,22720
S00098,0,none,2,22086,22086
S00098,0,none,3,23203,23203
S00098,0,none,4,85123A,85123A
S00098,0,none,5,22699,22699
S00098,0,none,6,23240,23240
S00098,0,none,7,23298,23298
S00098,0,none,8,22726,22726
S00098,0,none,9,22666,22666
S00098,0,none,10,22734,22734
S00108,0,none,1,22866,22866
S00108,0,none,2,22178,22178
S00108,0,none,3,23439,23439
S00108,0,none,4,22865,22865
S00108,0,none,5,85123A,85123A
S00108,0,none,6,22867,22867
S00108,0,none,7,21481,21481
S00108,0,none,8,23301,23301
S00108,0,none,9,22633,22633
S00108,0,none,10,84879,84879
S00118,0,none,1,72802A,72802A
S00118,0,none,2,85035A,85035A
S00118,0,none,3,23322,23322
S00118,0,none,4,22720,22720
S00118,0,none,5,20931,20931
S00118,0,none,6,21707,21707
S00118,0,none,7,21485,21485
S00118,0,none,8,22158,22158
S00118,0,none,9,22804,22804
S00118,0,none,10,20761,20761
S00123,0,none,1,20725,20725
S00123,0,none,2,20728,20728
S00123,0,none,3,85099B,85099B
S00123,0,none,4,23209,23209
S00123,0,none,5,22630,22630
S00123,0,none,6,22383,22383
S00123,0,none,7,23301,23301
S00123,0,none,8,23198,23198
S00123,0,none,9,21933,21933
S00123,0,none,10,20726,20726
S00127,1,popularity_fallback,1,23197,85099B
S00127,1,popularity_fallback,2,23209,23355
S00127,1,popularity_fallback,3,23301,22086
S00127,1,popularity_fallback,4,21992,23203
S00127,1,popularity_fallback,5,23321,85123A
S00127,1,popularity_fallback,6,22558,22423
S00127,1,popularity_fallback,7,84050,84879
S00127,1,popularity_fallback,8,82567,23209
S00127,1,popularity_fallback,9,21154,20725
S00127,1,popularity_fallback,10,84375,22720
S00128,0,none,1,47566,47566
S00128,0,none,2,22508,22508
S00128,0,none,3,84792,84792
S00128,0,none,4,22939,22939
S00128,0,none,5,23393,23393
S00128,0,none,6,22111,22111
S00128,0,none,7,23184,23184
S00128,0,none,8,23243,23243
S00128,0,none,9,22139,22139
S00128,0,none,10,22726,22726
S00147,0,none,1,23322,23322
S00147,0,none,2,20725,20725
S00147,0,none,3,85152,85152
S00147,0,none,4,82494L,82494L
S00147,0,none,5,22457,22457
S00147,0,none,6,21535,21535
S00147,0,none,7,23300,23300
S00147,0,none,8,22077,22077
S00147,0,none,9,21733,21733
S00147,0,none,10,84879,84879
S00148,1,popularity_fallback,1,23264,85099B
S00148,1,popularity_fallback,2,21992,23355
S00148,1,popularity_fallback,3,22141,22086
S00148,1,popularity_fallback,4,23198,23203
S00148,1,popularity_fallback,5,21914,85123A
S00148,1,popularity_fallback,6,23263,22423
S00148,1,popularity_fallback,7,22733,84879
S00148,1,popularity_fallback,8,23301,23209
S00148,1,popularity_fallback,9,22560,20725
S00148,1,popularity_fallback,10,85035C,22720
S00155,0,none,1,22086,22086
S00155,0,none,2,22865,22865
S00155,0,none,3,23301,23301
S00155,0,none,4,22467,22467
S00155,0,none,5,85099B,85099B
S00155,0,none,6,21908,21908
S00155,0,none,7,85123A,85123A
S00155,0,none,8,20725,20725
S00155,0,none,9,22621,22621
S00155,0,none,10,22077,22077
S00175,0,none,1,85123A,85123A
S00175,0,none,2,22467,22467
S00175,0,none,3,20914,20914
