stock_code,description,median_unit_price,n_invoices,first_seen,last_seen
10002,INFLATABLE POLITICAL GLOBE,0.85,362,2009-12-01,2011-04-18
10002R,ROBOT PENCIL SHARPNER,5.17,3,2009-12-02,2010-01-25
10080,GROOVY CACTUS INFLATABLE,0.39,24,2009-12-02,2011-11-14
10109,BENDY COLOUR PENCILS,0.42,1,2009-12-03,2009-12-03
10120,DOGGY RUBBER,0.21,69,2009-12-01,2011-11-04
10123C,HEARTS WRAPPING TAPE,0.65,63,2009-12-01,2011-03-31
10123G,ARMY CAMO WRAPPING TAPE,0.65,16,2009-12-01,2010-11-29
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,18,2010-03-19,2011-11-06
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,10,2010-05-13,2011-11-06
10125,MINI FUNKY DESIGN TAPES,0.85,164,2009-12-01,2011-11-04
10133,COLOURING PENCILS BROWN TUBE,0.83,289,2009-12-01,2011-09-07
10134,COLOURING PENCILS BROWN TUBE,1.25,52,2009-12-03,2010-11-12
10135,COLOURING PENCILS BROWN TUBE,1.25,307,2009-12-01,2011-11-14
10138,ASSORTED COLOUR JUMBO PEN,0.42,21,2009-12-02,2010-04-20
11001,ASSTD DESIGN RACING CAR PEN,1.69,237,2009-12-01,2011-11-14
15030,FAN BLACK FRAME,0.29,25,2009-12-13,2011-11-10
15034,PAPER POCKET TRAVELING FAN,0.14,240,2009-12-01,2011-11-13
15036,ASSORTED COLOURS SILK FAN,0.83,955,2009-12-01,2011-11-13
15039,SANDALWOOD FAN,0.85,287,2009-12-03,2011-11-14
15044A,PINK PAPER PARASOL,2.95,240,2009-12-07,2011-11-14
15044B,BLUE PAPER PARASOL,2.95,189,2009-12-01,2011-09-28
15044C,PURPLE PAPER PARASOL,2.95,225,2009-12-01,2011-11-13
15044D,RED PAPER PARASOL,2.95,220,2009-12-01,2011-11-13
15056BL,EDWARDIAN PARASOL BLACK,5.95,918,2009-12-01,2011-11-14
15056N,EDWARDIAN PARASOL NATURAL,5.95,1119,2009-12-01,2011-11-14
15056P,EDWARDIAN PARASOL PINK,5.95,367,2009-12-01,2011-11-14
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,147,2010-01-24,2011-10-06
15058B,PINK POLKADOT GARDEN PARASOL,7.95,155,2010-01-13,2011-09-21
15058C,ICE CREAM DESIGN GARDEN PARASOL,7.95,120,2010-01-24,2011-10-31
15059A,ENGLISH ROSE EDWARDIAN PARASOL,13.0,4,2009-12-01,2009-12-03
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,452,2009-12-03,2011-10-12
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,75,2010-03-19,2011-11-14
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,4,2010-01-17,2011-03-28
16011,ANIMAL STICKERS,0.21,104,2009-12-04,2011-11-11
16012,FOOD/DRINK SPONGE STICKERS,0.21,80,2009-12-02,2011-11-10
16014,SMALL CHINESE STYLE SCISSOR,0.42,85,2009-12-03,2011-11-09
16015,MEDIUM CHINESE STYLE SCISSOR,0.5,64,2009-12-03,2011-11-11
16016,LARGE CHINESE STYLE SCISSOR,0.85,96,2009-12-03,2011-11-09
16020C,CLEAR STATIONERY BOX SET,0.85,39,2009-12-07,2011-07-05
16033,MINI HIGHLIGHTER PENS,0.12,50,2009-12-10,2011-02-17
16043,POP ART PUSH DOWN RUBBER,0.42,13,2009-12-16,2011-06-09
16044,POP-ART FLUORESCENT PENS,0.42,3,2010-01-07,2010-02-18
16045,POPART WOODEN PENCILS ASST,0.04,66,2010-01-07,2011-11-13
16046,TEATIME PEN CASE & PENS,0.85,58,2009-12-04,2011-10-23
16047,POP ART PEN CASE & PENS,0.85,31,2009-12-01,2010-10-24
16048,TEATIME ROUND PENCIL SHARPENER,0.12,97,2009-12-07,2011-11-14
16049,TEATIME GEL PENS ASST,0.42,32,2009-12-04,2011-05-25
16050,TEATIME PENCIL WITH RUBBER,0.4,8,2010-02-16,2010-04-19
16051,TEATIME PENCIL W STAMP ASST,0.42,4,2009-12-10,2010-06-09
16052,TEATIME PUSH DOWN RUBBER,0.42,35,2009-12-16,2011-06-09
16053,POPART COL BALLPOINT PEN ASST,0.21,10,2010-01-07,2010-11-16
16054,POPART RECT PENCIL SHARPENER ASST,0.12,33,2010-01-07,2011-11-14
16119,FUNKY GIRL ADDRESS BOOK,1.25,8,2009-12-10,2009-12-22
16151A,FLOWERS HANDBAG blue and orange,1.25,5,2010-04-30,2011-05-25
16156L,"WRAP, CAROUSEL",0.42,34,2010-01-10,2011-09-22
16156N,"WRAP, FRIENDSHIP ON GREEN",0.42,56,2009-12-01,2010-06-21
16156S,WRAP PINK FAIRY CAKES,0.42,408,2009-12-01,2011-11-13
16161C,WRAP SPEED DEMONS,0.1,2,2009-12-01,2009-12-22
16161E,WRAP BOUDOIR,0.1,9,2009-12-07,2010-02-22
16161G,WRAP BAD HAIR DAY,0.1,31,2010-01-19,2011-11-11
16161M,WRAP  PINK FLOCK,0.42,39,2009-12-03,2010-12-02
16161P,WRAP ENGLISH ROSE,0.42,426,2009-12-01,2011-11-13
16161U,WRAP SUKI AND FRIENDS,0.42,309,2009-12-01,2011-11-08
16162L,THE KING GIFT BAG,0.65,30,2009-12-09,2011-09-13
16162M,THE KING GIFT BAG 25x24x12cm,0.42,12,2010-06-14,2011-11-13
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.42,95,2009-12-09,2011-11-11
16168S,FUNKY MONKEY GIFT BAG SMALL,0.29,11,2009-12-10,2010-02-05
16169A,WRAP CHRISTMAS DECOUPAGE,0.42,1,2010-04-29,2010-04-29
16169C,WRAP BLUE REINDEER,0.42,43,2009-12-01,2010-11-04
16169D,WRAP WINTER FOREST,0.42,9,2009-12-01,2009-12-13
16169E,WRAP 50'S  CHRISTMAS,0.42,115,2011-07-21,2011-11-13
16169F,WRAP BLIZZARD,0.42,34,2009-12-01,2010-10-17
16169G,WRAP ROMANTIC DECOUPAGE,0.42,1,2009-12-10,2009-12-10
16169K,WRAP FOLK ART,0.42,60,2009-12-04,2011-09-28
16169M,WRAP DAISY CARPET,0.42,57,2009-12-03,2011-11-09
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,56,2009-12-01,2010-12-06
16169P,WRAP GREEN RUSSIAN FOLKART,0.42,48,2009-12-04,2010-12-19
16192,PINK BALLET OPENING CUBE BOX,4.3,1,2009-12-18,2009-12-18
16201A,PASTEL PINK PHOTO ALBUM,1.95,9,2009-12-02,2010-09-09
16201B,PASTEL BLUE PHOTO ALBUM,3.43,5,2009-12-02,2009-12-10
16202A,PASTEL PINK PHOTO ALBUM,5.55,21,2009-12-02,2011-04-17
16202B,PASTEL BLUE PHOTO ALBUM,5.55,22,2009-12-02,2011-04-19
16202C,BEIGE PHOTO ALBUM,1.95,12,2009-12-02,2010-05-06
16202E,BLACK PHOTO ALBUM,1.95,14,2009-12-02,2011-04-17
16206B,RED PURSE WITH PINK HEART,1.25,16,2010-01-31,2011-01-26
16207A,PINK STRAWBERRY HANDBAG,2.95,76,2009-12-01,2011-11-06
16207B,PINK HEART RED HANDBAG,2.51,46,2009-12-11,2011-08-30
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.65,37,2009-12-02,2010-11-12
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,0.65,3,2009-12-03,2009-12-03
16216,LETTER SHAPE PENCIL SHARPENER,0.16,77,2009-12-04,2011-11-14
16218,CARTOON  PENCIL SHARPENERS,0.16,86,2009-12-08,2011-11-09
16219,HOUSE SHAPE PENCIL SHARPENER,0.21,108,2009-12-06,2011-11-14
16225,RATTLE SNAKE EGGS,1.25,136,2009-12-01,2011-11-14
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21,282,2009-12-01,2011-11-14
16236,KITTY PENCIL ERASERS,0.21,233,2009-12-02,2011-11-14
16237,SLEEPING CAT ERASERS,0.21,530,2009-12-01,2011-11-14
16238,PARTY TIME PENCIL ERASERS,0.21,208,2009-12-01,2011-11-14
16239,BALLERINA HEART DECORATION.,2.95,21,2009-12-02,2010-03-02
16243B,BROWN COZY SQUARE PHOTO ALBUM,6.04,8,2009-12-02,2010-03-11
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,4.21,28,2009-12-02,2010-03-15
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,4.21,28,2009-12-03,2011-05-11
16245A,PINK MINI STATIONERY SET W CASE,1.25,7,2010-03-10,2010-07-12
16248B,BLUE HOLE PUNCH,1.25,12,2010-09-20,2011-10-30
