slate_id,position,stock_code
S00001,1,22697
S00001,2,21668
S00001,3,23209
S00001,4,84879
S00001,5,23175
S00001,6,22993
S00001,7,22555
S00001,8,22771
S00001,9,20725
S00001,10,23301
S00002,1,23332
S00002,2,23266
S00002,3,22469
S00002,4,23321
S00002,5,22144
S00002,6,23273
S00002,7,23301
S00002,8,35970
S00002,9,23198
S00002,10,23263
S00003,1,82599
S00003,2,85123A
S00003,3,21174
S00003,4,22469
S00003,5,21181
S00003,6,22412
S00003,7,22212
S00003,8,21903
S00003,9,21171
S00003,10,22667
S00004,1,22469
S00004,2,22866
S00004,3,22961
S00004,4,22141
S00004,5,84879
S00004,6,22147
S00004,7,21181
S00004,8,22739
S00004,9,22759
S00004,10,22748
S00005,1,21535
S00005,2,22623
S00005,3,85034A
S00005,4,72802C
S00005,5,21622
S00005,6,22470
S00005,7,84997B
S00005,8,22505
S00005,9,22502
S00005,10,21164
S00006,1,20725
S00006,2,84380
S00006,3,22554
S00006,4,21122
S00006,5,22383
S00006,6,20727
S00006,7,85099B
S00006,8,22662
S00006,9,22993
S00006,10,22292
S00007,1,21988
S00007,2,21989
S00007,3,21987
S00007,4,21212
S00007,5,21078
S00007,6,21122
S00007,7,22333
S00007,8,22437
S00007,9,22197
S00007,10,22907
S00008,1,20724
S00008,2,22356
S00008,3,20992
S00008,4,22661
S00008,5,21975
S00008,6,21080
S00008,7,21162
S00008,8,22437
S00008,9,22400
S00008,10,23307
S00009,1,23209
S00009,2,23206
S00009,3,22382
S00009,4,23203
S00009,5,20726
S00009,6,23208
S00009,7,23199
S00009,8,23202
S00009,9,23201
S00009,10,22411
S00010,1,23049
S00010,2,22192
S00010,3,22423
S00010,4,22193
S00010,5,22501
S00010,6,21754
S00010,7,23181
S00010,8,48138
S00010,9,22925
S00010,10,47566
S00011,1,22666
S00011,2,22727
S00011,3,22429
S00011,4,85123A
S00011,5,22910
S00011,6,20914
S00011,7,84924A
S00011,8,22698
S00011,9,22303
S00011,10,85054
S00012,1,20725
S00012,2,21672
S00012,3,84879
S00012,4,21181
S00012,5,22558
S00012,6,85099B
S00012,7,22083
S00012,8,21155
S00012,9,22666
S00012,10,22077
S00013,1,21181
S00013,2,82600
S00013,3,21169
S00013,4,21907
S00013,5,82599
S00013,6,82582
S00013,7,21174
S00013,8,22469
S00013,9,21874
S00013,10,21903
S00014,1,21175
S00014,2,37450
S00014,3,21232
S00014,4,22057
S00014,5,85152
S00014,6,21165
S00014,7,85150
S00014,8,22645
S00014,9,82583
S00014,10,85123A
S00015,1,23206
S00015,2,20725
S00015,3,22384
S00015,4,20727
S00015,5,22662
S00015,6,23207
S00015,7,23199
S00015,8,23208
S00015,9,23202
S00015,10,21931
S00016,1,22980
S00016,2,21209
S00016,3,20728
S00016,4,22553
S00016,5,22991
S00016,6,22949
