doi,field,n_subsections
10.1371/journal.pone.0013658,Anatomy,5
10.1371/journal.pone.0013727,Biochemistry,7
10.1371/journal.pone.0013657,Anatomy,7
10.1371/journal.pone.0013733,Molecular biology,5
10.1371/journal.pone.0013818,Computational biology,4
10.1371/journal.pone.0012531,Biochemistry,4
10.1371/journal.pone.0014786,Biochemistry,4
10.1371/journal.pone.0012518,Anatomy,4
10.1371/journal.pone.0015881,Biochemistry,6
10.1371/journal.pone.0013821,Anatomy,6
10.1371/journal.pone.0013227,Cell biology,5
10.1371/journal.pone.0012519,Anatomy,5
10.1371/journal.pone.0015905,Anatomy,7
10.1371/journal.pone.0013670,Agriculture,5
10.1371/journal.pone.0013797,Immunology,7
10.1371/journal.pone.0014789,Anatomy,5
10.1371/journal.pone.0015882,Psychology,4
10.1371/journal.pone.0012639,Biochemistry,4
10.1371/journal.pone.0013665,Biochemistry,4
10.1371/journal.pone.0014716,Anatomy,5
10.1371/journal.pone.0013659,Biochemistry,7
10.1371/journal.pone.0013789,Anatomy,6
10.1371/journal.pone.0013726,Biochemistry,5
10.1371/journal.pone.0013734,Computational biology,4
10.1371/journal.pone.0014812,Anatomy,4
10.1371/journal.pone.0012527,Nutrition,8
10.1371/journal.pone.0015894,Biochemistry,6
10.1371/journal.pone.0015910,Biochemistry,5
10.1371/journal.pone.0012644,Cell biology,7
10.1371/journal.pone.0013831,Biochemistry,8
10.1371/journal.pone.0015908,Biogeography,6
10.1371/journal.pone.0013135,Microbiology,6
10.1371/journal.pone.0013120,Anatomy,4
10.1371/journal.pone.0015879,Anatomy,8
10.1371/journal.pone.0013813,Biochemistry,6
10.1371/journal.pone.0015907,Anatomy,5
10.1371/journal.pone.0013122,Anatomy,5
10.1371/journal.pone.0013815,Biochemistry,8
10.1371/journal.pone.0013792,Anatomy,7
10.1371/journal.pone.0015909,Anatomy,8
10.1371/journal.pone.0012526,Biochemistry,4
10.1371/journal.pone.0013121,Cell biology,5
10.1371/journal.pone.0014787,Anatomy,8
10.1371/journal.pone.0012529,Biochemistry,7
10.1371/journal.pone.0014671,Anatomy,7
10.1371/journal.pone.0014720,Agriculture,4
10.1371/journal.pone.0012516,Anatomy,4
