doi,field,n_subsections
10.1371/journal.pgen.1002182,Cell biology,5
10.1371/journal.pone.0016982,Biochemistry,4
10.1371/journal.pone.0016375,Cell biology,5
10.1371/journal.pone.0021356,Neuroscience,5
10.1371/journal.pone.0021378,Anatomy,7
10.1371/journal.pone.0020731,Biochemistry,8
10.1371/journal.pone.0016966,Anatomy,7
10.1371/journal.pone.0021358,Biochemistry,5
10.1371/journal.pone.0016972,Anatomy,4
10.1371/journal.pone.0020752,Biochemistry,4
10.1371/journal.pone.0021337,Biochemistry,4
10.1371/journal.pone.0020756,Anatomy,4
10.1371/journal.pone.0020858,Anatomy,6
10.1371/journal.pone.0021332,Biochemistry,6
10.1371/journal.pone.0020763,Anatomy,8
10.1371/journal.pone.0016951,Cell biology,7
10.1371/journal.pone.0021347,Biochemistry,6
10.1371/journal.pone.0021431,Biochemistry,5
10.1371/journal.pcbi.0030232,Biochemistry,7
10.1371/journal.pone.0015512,Anatomy,4
10.1371/journal.pone.0020749,Anatomy,6
10.1371/journal.pone.0020780,Anatomy,5
10.1371/journal.pone.0021387,Developmental biology,5
10.1371/journal.pone.0016358,Biochemistry,8
10.1371/journal.pone.0021349,Cell biology,6
10.1371/journal.pone.0021373,Anatomy,7
10.1371/journal.pone.0021340,Biochemistry,4
10.1371/journal.pone.0021419,Developmental biology,4
10.1371/journal.pgen.1002189,Biochemistry,7
10.1371/journal.pbio.0030283,Cell biology,8
10.1371/journal.pone.0020859,Biochemistry,4
10.1371/journal.pone.0020768,Biochemistry,7
10.1371/journal.pone.0016353,Anatomy,6
10.1371/journal.pone.0020803,Anatomy,5
10.1371/journal.pone.0020786,Biochemistry,6
10.1371/journal.pone.0020787,Biochemistry,8
10.1371/journal.pgen.1002191,Biochemistry,4
10.1371/journal.pone.0021417,Biochemistry,6
10.1371/journal.pbio.0030374,Biochemistry,4
10.1371/journal.pone.0015514,Anatomy,7
10.1371/journal.pone.0014294,Nutrition,4
10.1371/journal.pone.0016984,Cell biology,6
10.1371/journal.pone.0016983,Anatomy,4
10.1371/journal.pbio.0030370,Cell biology,5
10.1371/journal.pone.0020852,Genetics,5
10.1371/journal.pone.0016945,Cell biology,6
10.1371/journal.pone.0021381,Cell biology,5
10.1371/journal.pone.0021348,Biochemistry,5
10.1371/journal.pone.0016868,Cell biology,7
10.1371/journal.pone.0016953,Biochemistry,7
10.1371/journal.pone.0020767,Anatomy,4
10.1371/journal.pone.0021328,Anatomy,4
10.1371/journal.pone.0014311,Biochemistry,7
10.1371/journal.pone.0021394,Cell biology,4
10.1371/journal.pgen.1002175,Biochemistry,7
10.1371/journal.pone.0021395,Anatomy,4
10.1371/journal.pone.0015414,Biochemistry,7
10.1371/journal.pone.0015498,Biochemistry,6
10.1371/journal.pone.0016351,Biochemistry,5
10.1371/journal.pcbi.0030221,Anatomy,7
10.1371/journal.pone.0021404,Medicine and health sciences,6
10.1371/journal.pone.0015493,Microbiology,4
10.1371/journal.pone.0015504,Anatomy,5
10.1371/journal.pone.0015518,Anatomy,6
10.1371/journal.pcbi.1000036,Anatomy,5
10.1371/journal.pbio.0030271,Biochemistry,4
10.1371/journal.pone.0016921,Cell biology,5
10.1371/journal.pone.0020775,Cell biology,6
10.1371/journal.pbio.0030248,Cell biology,8
10.1371/journal.pone.0020737,Anatomy,6
10.1371/journal.pone.0016373,Biochemistry,7
10.1371/journal.pone.0015497,Anatomy,5
10.1371/journal.pone.0020808,Anatomy,5
10.1371/journal.pone.0020746,Biochemistry,4
10.1371/journal.pone.0016958,Biochemistry,6
10.1371/journal.pone.0014308,Ecology,4
10.1371/journal.pcbi.0030220,Biochemistry,4
10.1371/journal.pone.0016974,Nutrition,5
10.1371/journal.pone.0021402,Anatomy,7
10.1371/journal.pone.0014304,Anatomy,5
10.1371/journal.pcbi.1000025,Cell biology,4
10.1371/journal.pone.0015466,Biochemistry,4
10.1371/journal.pone.0021352,Biochemistry,4
10.1371/journal.pone.0020785,Biochemistry,7
10.1371/journal.pone.0021412,Biochemistry,6
10.1371/journal.pgen.1002187,Biochemistry,4
10.1371/journal.pone.0015464,Ecology,5
10.1371/journal.pone.0014281,Biochemistry,7
10.1371/journal.pone.0020773,Biochemistry,4
10.1371/journal.pone.0020732,Anatomy,4
10.1371/journal.pone.0021382,Biochemistry,5
10.1371/journal.pone.0021369,Cell biology,8
10.1371/journal.pone.0016959,Biochemistry,5
10.1371/journal.pone.0020769,Anatomy,7
10.1371/journal.pone.0016867,Biochemistry,4
10.1371/journal.pone.0016352,Biochemistry,4
10.1371/journal.pone.0021393,Ecology,4
10.1371/journal.pone.0021396,Biochemistry,5
10.1371/journal.pgen.0020154,Biochemistry,4
10.1371/journal.pone.0016369,Biochemistry,5
10.1371/journal.pone.0016866,Biochemistry,4
10.1371/journal.pone.0020740,Anatomy,5
10.1371/journal.pone.0020784,Cell biology,8
10.1371/journal.pone.0014195,Biochemistry,5
10.1371/journal.pone.0016967,Anatomy,7
10.1371/journal.pone.0021338,Biochemistry,5
10.1371/journal.pone.0014286,Biochemistry,7
10.1371/journal.pone.0021370,Cell biology,4
10.1371/journal.pcbi.1000028,Neuroscience,5
10.1371/journal.pone.0021410,Anatomy,6
10.1371/journal.pbio.0030272,Anatomy,6
10.1371/journal.pone.0015489,Biochemistry,8
10.1371/journal.pone.0012085,Anatomy,5
10.1371/journal.pone.0020806,Biochemistry,7
10.1371/journal.pgen.1000581,Computational biology,6
10.1371/journal.pone.0015404,Cell biology,4
10.1371/journal.pone.0016361,Biogeography,4
10.1371/journal.pone.0021416,Anatomy,5
10.1371/journal.pone.0014197,Anatomy,8
10.1371/journal.pone.0015513,Anatomy,5
10.1371/journal.pone.0020754,Anatomy,6
10.1371/journal.pone.0016379,Biochemistry,5
10.1371/journal.pone.0021414,Electronics engineering,7
10.1371/journal.pone.0020735,Biochemistry,6
10.1371/journal.pone.0021433,Anatomy,5
10.1371/journal.pcbi.0030234,Anatomy,8
10.1371/journal.pone.0021389,Anatomy,4
10.1371/journal.pcbi.0030235,Genetics,6
10.1371/journal.pcbi.0030228,Biochemistry,6
10.1371/journal.pone.0020730,Biochemistry,4
10.1371/journal.pone.0014298,Anatomy,4
10.1371/journal.pone.0015516,Developmental biology,4
10.1371/journal.pone.0021333,Biochemistry,8
10.1371/journal.pone.0020760,Biochemistry,4
10.1371/journal.pone.0021329,Biochemistry,5
10.1371/journal.pone.0016970,Anatomy,4
10.1371/journal.pcbi.1000032,Organisms,7
10.1371/journal.pone.0016863,Ecology,4
10.1371/journal.pone.0016960,Cell biology,5
10.1371/journal.pone.0022291,Anatomy,4
10.1371/journal.pone.0021411,Anatomy,5
10.1371/journal.pone.0016947,Anatomy,5
10.1371/journal.pone.0014291,Biochemistry,6
10.1371/journal.pone.0021384,Biochemistry,5
10.1371/journal.pone.0020855,Anatomy,5
10.1371/journal.pone.0016952,Anatomy,5
10.1371/journal.pone.0021354,Organisms,5
10.1371/journal.pone.0015492,Biochemistry,4
10.1371/journal.pone.0016955,Biochemistry,5
10.1371/journal.pone.0021415,Anatomy,7
10.1371/journal.pone.0014192,Anatomy,4
10.1371/journal.pone.0016963,Anatomy,4
10.1371/journal.pone.0021406,Biochemistry,4
10.1371/journal.pone.0016366,Anatomy,5
10.1371/journal.pcbi.0030231,Biochemistry,4
10.1371/journal.pone.0021365,Cell biology,4
10.1371/journal.pcbi.1000023,Anatomy,5
10.1371/journal.pgen.1002178,Computational biology,4
10.1371/journal.pone.0020772,Anatomy,7
10.1371/journal.pone.0014198,Biochemistry,7
10.1371/journal.pbio.0030277,Biochemistry,4
10.1371/journal.pone.0016977,Anatomy,5
10.1371/journal.pone.0020857,Anatomy,5
10.1371/journal.pone.0016282,Anatomy,7
10.1371/journal.pone.0021359,Anatomy,4
10.1371/journal.pgen.0020156,Bioengineering,7
10.1371/journal.pone.0021341,Biochemistry,5
10.1371/journal.pone.0020781,Anatomy,4
10.1371/journal.pone.0020751,Anatomy,4
10.1371/journal.pone.0016949,Agriculture,5
10.1371/journal.pone.0016278,Biochemistry,5
10.1371/journal.pone.0020804,Computational biology,4
10.1371/journal.pone.0021350,Biochemistry,5
10.1371/journal.pone.0021325,Biochemistry,5
10.1371/journal.pone.0020788,Biochemistry,5
10.1371/journal.pgen.1002184,Biochemistry,6
10.1371/journal.pone.0020782,Ecology,4
10.1371/journal.pone.0015500,Anatomy,6
10.1371/journal.pone.0021323,Biochemistry,8
10.1371/journal.pgen.1000587,Genetics,5
10.1371/journal.pone.0020742,Anatomy,5
10.1371/journal.pone.0020854,Cell biology,4
10.1371/journal.pone.0016965,Ecology,4
10.1371/journal.pone.0016950,Computational biology,6
10.1371/journal.pbio.0030257,Biochemistry,6
10.1371/journal.pone.0016954,Anatomy,5
10.1371/journal.pone.0021390,Biochemistry,6
10.1371/journal.pone.0021342,Anatomy,6
10.1371/journal.pone.0020766,Anatomy,6
10.1371/journal.pone.0016362,Biochemistry,4
10.1371/journal.pone.0021346,Anatomy,6
10.1371/journal.pone.0021343,Biochemistry,6
10.1371/journal.pone.0014289,Cell biology,4
10.1371/journal.pone.0022892,Cell biology,5
10.1371/journal.pone.0015494,Biochemistry,7
10.1371/journal.pgen.1000584,Anatomy,7
10.1371/journal.pone.0014300,Biochemistry,5
10.1371/journal.pone.0022283,Anatomy,5
10.1371/journal.pone.0020727,Biochemistry,4
10.1371/journal.pone.0015499,Biochemistry,4
10.1371/journal.pone.0021386,Anatomy,4
10.1371/journal.pone.0021372,Biochemistry,6
10.1371/journal.pone.0016349,Microbiology,7
10.1371/journal.pone.0021360,Anatomy,4
10.1371/journal.pone.0021388,Biochemistry,4
10.1371/journal.pone.0021377,Agriculture,8
10.1371/journal.pone.0021375,Genetics,5
10.1371/journal.pgen.1002192,Anatomy,4
10.1371/journal.pgen.1002188,Evolutionary biology,4
10.1371/journal.pbio.0030250,Biochemistry,5
10.1371/journal.pone.0014301,Biochemistry,7
10.1371/journal.pone.0015520,Biochemistry,5
10.1371/journal.pgen.1002186,Anatomy,6
10.1371/journal.pone.0020793,Biochemistry,6
10.1371/journal.pone.0016969,Biochemistry,5
