row_id,word,src_accent,source_pronunciation,tgt_accent,phonemes
train_000000,glottis,AU,ɡlɔtɪs,GA,ɡlɑtɪs
train_000001,starch,RP,stɑt͡ʃ,GA,stɑɹt͡ʃ
train_000002,deformation,AU,difomæɪʃən,RP,dɛfəmeɪʃən
train_000003,exacter,GA,ɪɡzæktɚ,RP,ɪɡzæktə
train_000004,confirm,GA,kənfɝm,RP,kənfɜm
train_000005,glossary,AU,ɡlɔsəɹi,GA,ɡlɑsəɹi
train_000006,pandemic,RP,pændɛmɪk,GA,pændɛmɪk
train_000007,bicultural,RP,baɪkʌlt͡ʃʊəɹəl,GA,baɪkəlt͡ʃəɹəl
train_000008,category,GA,kætɪɡoɹi,AU,kætɪɡəɹi
train_000009,propel,AU,pɹəpel,RP,pɹəpɛl
train_000010,carrot,AU,kæɹət,NZ,kɛɹət
train_000011,susceptibility,AU,səseptəbɪləti,GA,səsɛptəbɪləti
train_000012,bonk,RP,bɒŋk,GA,bɑŋk
train_000013,collate,GA,koʊleɪt,AU,kəlæɪt
train_000014,regimen,NZ,ɹed͡ʒəmən,RP,ɹɛd͡ʒɪmən
train_000015,coffee,AU,kɔfi,GA,kɔfi
train_000016,ferryman,RP,fɛɹimən,AU,feɹimən
train_000017,terminal,RP,tɜmɪnəl,NZ,tømənəl
train_000018,pondered,RP,pɒndəd,GA,pɑndɚd
train_000019,wars,GA,wɔɹz,RP,wɔz
train_000020,raster,AU,ɹɑstəɹ,GA,ɹæstɚ
train_000021,sacrificed,RP,sækɹɪfaɪst,AU,sækɹɪfɑest
train_000022,oyster,RP,ɔɪstə,GA,ɔɪstɚ
train_000023,hazelnut,GA,heɪzəlnʌt,RP,heɪzəlnʌt
train_000024,bogie,GA,boʊɡi,RP,bəʊɡi
train_000025,wet,AU,wet,RP,wɛt
train_000026,refer,NZ,ɹəfø,AU,ɹifə
train_000027,paternalism,GA,pətɝnəlɪzəm,RP,pətɜnəlɪzəm
train_000028,shag,RP,ʃæɡ,AU,ʃæɡ
train_000029,environment,RP,ɪnvaɪɹəmənt,GA,ɪnvaɪɚnmənt
train_000030,transcendental,GA,tɹæntsɛndɛntl̩,RP,tɹæntsɛndɛntl̩
train_000031,trapezoid,RP,tɹæpəzɔɪd,GA,tɹæpəzɔɪd
train_000032,maritime,AU,mæɹɪtɑem,GA,mɛɹɪtaɪm
train_000033,researches,GA,ɹɪsɝt͡ʃɪz,RP,ɹɪsɜt͡ʃɪz
train_000034,qualifier,AU,kwɔlɪfɑɪə,GA,kwɑlɪfaɪɚ
train_000035,ubiquarian,GA,jubɪkwɛɹiən,RP,jubɪkwɛəɹɪən
train_000036,omer,RP,əʊmə,GA,oʊmɛɹ
train_000037,least,RP,list,GA,list
train_000038,unity,AU,jʉnəti,GA,junɪti
train_000039,suggestions,RP,səd͡ʒɛstjənz,GA,səɡd͡ʒɛst͡ʃənz
train_000040,direction,NZ,dəɹekʃən,AU,dɪɹekʃən
train_000041,stockholder,RP,stɒkhəʊldə,AU,stɔkhəʉldə
train_000042,thana,AU,tɐnə,RP,tɑnə
train_000043,jeer,GA,d͡ʒɪɹ,NZ,d͡ʒiə
train_000044,concede,RP,kənsid,GA,kənsid
train_000045,accuracy,RP,akjʊɹəsi,GA,ækjɚəsi
train_000046,eligibility,NZ,eləd͡ʒəbələti,RP,ɛlɪd͡ʒəbɪlɪti
train_000047,ecstasy,AU,ekstəsi,RP,ɛkstəsi
train_000048,dimensions,NZ,dəmenʃənz,AU,dɪmenʃənz
train_000049,august,RP,ɔɡʌst,GA,ɔɡʌst
train_000050,swat,RP,swɒt,AU,swɔt
train_000051,chronological,AU,kɹɔnəlɔd͡ʒɪkəl,GA,kɹɑnəlɑd͡ʒɪkəl
train_000052,youthful,GA,juθfəl,RP,juθfəl
train_000053,collate,AU,kəlæɪt,RP,kəleɪt
train_000054,provoke,NZ,pɹəvɐʉk,AU,pɹəvəʉk
train_000055,carry,RP,kæɹi,AU,kæɹi
train_000056,dioxide,AU,dɑeɔksɑed,RP,daɪɒksaɪd
train_000057,arbitrary,AU,ɐbɪtɹəɹi,NZ,ɐbətɹəɹi
train_000058,bare,GA,bɛɹ,RP,bɛə
train_000059,zymurgy,GA,zaɪmɜɹd͡ʒi,RP,zaɪmɜd͡ʒi
train_000060,modifier,GA,mɑdɪfaɪɚ,RP,mɒdɪfaɪə
train_000061,doctor,AU,dɔktə,RP,dɒktəɹ
train_000062,morphology,RP,mɔfɒləd͡ʒi,AU,mofɔləd͡ʒi
train_000063,radiogram,RP,ɹeɪdɪəʊɡɹæm,GA,ɹeɪdiəɡɹæm
train_000064,coati,GA,koʊɑti,RP,kəʊɑti
train_000065,verdict,GA,vɝdɪkt,AU,vɜdɪkt
train_000066,becoming,GA,bɪkʌmɪŋ,RP,bɪkʌmɪŋ
train_000067,ownership,GA,oʊnɚʃɪp,RP,əʊnəʃɪp
train_000068,aerospace,AU,eɹəʉspæɪs,GA,ɛɹoʊspeɪs
train_000069,burger,RP,bɜɡə,NZ,bøɡə
train_000070,bell,RP,bɛl,AU,bel
train_000071,puffer,GA,pʌfɚ,RP,pʌfə
train_000072,fabricate,RP,fæbɹɪkeɪt,AU,fæbɹɪkæɪt
train_000073,garnish,AU,ɡänɪʃ,GA,ɡɑɹnɪʃ
train_000074,triggerfish,RP,tɹɪɡəfɪʃ,GA,tɹɪɡəɹfɪʃ
train_000075,cutaneous,GA,kjuteɪniəs,RP,kjuteɪniəs
train_000076,sour,AU,sæɔə,RP,saʊə
train_000077,larrikin,GA,lɛɹəkən,RP,læɹɪkɪn
train_000078,subsidy,RP,sʌbsɪdi,NZ,sɐbsədi
train_000079,curmur,RP,kəmɜɹ,GA,kɚmɝ
train_000080,thiabendazole,GA,θaɪəbɛndəzoʊl,RP,θʌɪəbɛndəzəʊl
train_000081,parakeet,RP,paɹəkit,GA,pɛɹəkit
train_000082,friar,RP,fɹaɪə,GA,fɹaɪɚ
train_000083,inter,RP,ɪntɜ,GA,ɪntɚ
train_000084,concentration,GA,kɑnsəntɹeɪʃən,RP,kɒnsəntɹeɪʃən
train_000085,epidermis,AU,epɪdɜmɪs,GA,ɛpədɝmɪs
train_000086,fog,AU,fɔɡ,NZ,fɒɡ
train_000087,haute,GA,oʊt,RP,əʊt
train_000088,courtship,GA,kɔɹtʃɪp,RP,kɔtʃɪp
train_000089,covalent,AU,kəʉvæɪlənt,GA,koʊveɪlənt
train_000090,porridge,NZ,pɔ̟ɹəd͡ʒ,GA,pɔɹɪd͡ʒ
train_000091,furore,GA,fjʊɹoɹ,RP,fjʊɹɔɹi
train_000092,meerkat,GA,mɪəɹkæt,RP,mɪəkat
train_000093,squat,RP,skwɒt,AU,skwɔt
train_000094,dissertation,RP,dɪsəteɪʃən,AU,dɪsətæɪʃən
train_000095,brand,RP,bɹænd,AU,bɹænd
train_000096,psychopathological,GA,saɪkoʊpæθəlɑd͡ʒɪkəl,RP,saɪkəʊpæθəlɒd͡ʒɪkəl
train_000097,apricot,RP,eɪpɹɪkɒt,AU,æepɹɪkɒt
train_000098,airless,AU,eləs,GA,ɛɹləs
train_000099,rhotic,GA,ɹoʊtɪk,RP,ɹəʊtɪk
train_000100,fashionista,GA,fæʃənistə,RP,fæʃənɪstə
train_000101,hand,AU,hænd,NZ,hɛnd
train_000102,cards,GA,kɑɹdz,RP,kɑdz
train_000103,convenient,AU,kənviniənt,GA,kənvinjənt
train_000104,correct,AU,kəɹekt,RP,kəɹɛkt
train_000105,kurtosis,AU,kətəʉsɪs,GA,kɚtoʊsɪs
train_000106,bride,AU,bɹɑed,RP,bɹaɪd
train_000107,toward,GA,tɔɹd,RP,təwɔd
train_000108,chorus,GA,koɹəs,RP,kɔɹəs
train_000109,foundation,AU,fæʊ̯ndæ̝ɪ̯ʃən,RP,faʊ̯ndeɪ̯ʃən
train_000110,calibration,RP,kælɪbɹeɪʃən,AU,kæləbɹæɪʃən
train_000111,loot,GA,lut,AU,ɫʉt
train_000112,conversation,AU,kɔnvəsæɪʃn̩,RP,kɒnvəseɪʃn̩
train_000113,lighting,GA,laɪtɪŋ,RP,laɪtɪŋ
train_000114,wickerwork,GA,wɪkɚwɚk,RP,wɪkəwɜk
train_000115,dramedy,RP,dɹɑmədi,GA,dɹɑmədi
train_000116,bear,GA,bɛɚ,AU,be
train_000117,connotation,GA,kɑnəteɪʃən,NZ,kɒnətæɪʃən
train_000118,doctrines,GA,dɑktɹɪnz,RP,dɒktɹɪnz
train_000119,conducive,GA,kəndusɪv,RP,kəndjusɪv
train_000120,regimen,RP,ɹɛd͡ʒɪmən,NZ,ɹed͡ʒəmən
train_000121,vera,RP,vɪəɹə,GA,vɪɹə
train_000122,posit,GA,pɑzɪt,NZ,pɒzət
train_000123,president,NZ,pɹe̝zɘdɘnt,AU,pɹezɪdənt
train_000124,cairn,RP,kɛən,NZ,keən
train_000125,lexicon,NZ,leksəkən,AU,leksɪkən
train_000126,braggart,GA,bɹæɡɚt,RP,bɹæɡɑt
train_000127,caper,GA,keɪpɚ,RP,keɪpə
train_000128,loss,NZ,lɒs,RP,lɒs
train_000129,fount,RP,faʊnt,GA,faʊnt
train_000130,sclerosis,NZ,skləɹɐʉsəs,RP,skləɹəʊsɪs
train_000131,globes,RP,ɡləʊbz,GA,ɡloʊbz
train_000132,heretofore,RP,hɪətəfɔ,GA,hɪɹtəfɔɹ
train_000133,galleon,RP,ɡæliən,GA,ɡæliən
train_000134,fiercely,GA,fɪɹsli,NZ,fiəsli
train_000135,wreath,RP,ɹiθ,GA,ɹiθ
train_000136,scroll,RP,skɹəʊl,GA,skɹoʊl
train_000137,ghost,RP,ɡəʊst,GA,ɡoʊst
train_000138,nearer,RP,nɪəɹə,GA,nɪɹɚ
train_000139,nock,GA,nɑk,RP,nɒk
train_000140,onomatology,GA,ɑnəmətɑləd͡ʒi,RP,ɒnəmətɒləd͡ʒi
train_000141,parhelion,GA,pɑɹhiliən,RP,pɑhilɪən
train_000142,hexomino,RP,hɛksɒmɪnəʊ,GA,hɛksɑmənoʊ
train_000143,taro,RP,tæɹəʊ,GA,tæɹoʊ
train_000144,matters,RP,mætəz,NZ,mɛtəz
train_000145,parp,GA,pɑɹp,RP,pɑp
train_000146,after,RP,ɑftə,GA,æftəɹ
train_000147,pianissimo,GA,piənɪsɪmoʊ,RP,piənɪsɪməʊ
train_000148,enter,AU,entəɹ,RP,ɛntəɹ
train_000149,misbehavior,GA,mɪsbɪheɪvjɚ,RP,mɪsbɪheɪvjəɹ
train_000150,surprise,RP,səpɹaɪ̯z,AU,səpɹɑ̟ɪ̯z
train_000151,slug,AU,slɐɡ,RP,slʌɡ
train_000152,minor,GA,maɪnəɹ,RP,maɪnə
train_000153,aptitude,RP,æptɪtjud,GA,æptɪtud
train_000154,whereof,RP,wɛəɹɒv,GA,hwɛɹʌv
train_000155,toggle,RP,tɒɡəl,NZ,tɒɡəl
train_000156,revise,NZ,ɹəvaɪ̯z,RP,ɹɪvaɪz
train_000157,foreclose,GA,fɔɹkloʊz,AU,fokləʉz
train_000158,fidelity,GA,fɪdɛləti,RP,fɪdɛlɪti
train_000159,worth,RP,wɜθ,NZ,wøθ
train_000160,bird,NZ,bød,GA,bɝd
train_000161,who,AU,hʉ,GA,hu
train_000162,alphabetical,AU,ælfəbetɪkəl,GA,ælfəbɛtɪkəl
train_000163,narcotic,GA,nɑɹkɑtɪk,NZ,nɐkɒtək
train_000164,hopelessly,RP,həʊplɪsli,GA,hoʊplɪsli
train_000165,apprehend,RP,æpɹɪhɛnd,AU,æpɹɪhend
train_000166,however,NZ,hæʊevə,AU,hæɔevə
train_000167,generate,GA,d͡ʒɛnəɹeɪt,AU,d͡ʒenəɹæɪt
train_000168,verdict,NZ,vødəkt,RP,vɜdɪkt
