week_start,item_id
2025-01-06,I0015
2025-01-06,I0031
2025-01-06,I0033
2025-01-06,I0049
2025-01-06,I0070
2025-01-06,I0081
2025-01-06,I0120
2025-01-06,I0122
2025-01-06,I0148
2025-01-06,I0162
2025-01-06,I0191
2025-01-06,I0195
2025-01-06,I0207
2025-01-06,I0219
2025-01-06,I0233
2025-01-06,I0243
2025-01-06,I0249
2025-01-06,I0272
2025-01-06,I0276
2025-01-06,I0295
2025-01-06,I0351
2025-01-06,I0357
2025-01-06,I0388
2025-01-06,I0419
2025-01-06,I0440
2025-01-06,I0465
2025-01-06,I0483
2025-01-06,I0503
2025-01-06,I0523
2025-01-06,I0526
2025-01-06,I0529
2025-01-06,I0552
2025-01-06,I0565
2025-01-06,I0575
2025-01-06,I0591
2025-01-06,I0603
2025-01-06,I0671
2025-01-06,I0692
2025-01-06,I0707
2025-01-06,I0734
2025-01-06,I0748
2025-01-06,I0760
2025-01-06,I0768
2025-01-06,I0776
2025-01-06,I0796
2025-01-06,I0798
2025-01-06,I0814
2025-01-06,I0820
2025-01-06,I0822
2025-01-06,I0837
2025-01-06,I0856
2025-01-06,I0863
2025-01-06,I0884
2025-01-06,I0891
2025-01-06,I0948
2025-01-06,I0955
2025-01-06,I0970
2025-01-06,I0976
2025-01-06,I0978
2025-01-06,I1028
2025-01-06,I1049
2025-01-06,I1066
2025-01-06,I1075
2025-01-06,I1096
2025-01-06,I1102
2025-01-06,I1121
2025-01-06,I1151
2025-01-06,I1181
2025-01-06,I1182
2025-01-06,I1190
2025-01-06,I1207
2025-01-06,I1227
2025-01-06,I1233
2025-01-06,I1246
2025-01-06,I1314
2025-01-06,I1384
2025-01-06,I1394
2025-01-06,I1398
2025-01-06,I1405
2025-01-06,I1411
2025-01-06,I1416
2025-01-06,I1443
2025-01-06,I1451
2025-01-06,I1465
2025-01-06,I1476
2025-01-06,I1494
2025-01-06,I1516
2025-01-06,I1517
2025-01-06,I1530
2025-01-06,I1542
2025-01-06,I1560
2025-01-06,I1652
2025-01-06,I1769
2025-01-06,I1772
2025-01-06,I1789
2025-01-06,I1804
2025-01-06,I1828
2025-01-06,I1834
2025-01-06,I1839
2025-01-06,I1894
2025-01-06,I1904
2025-01-06,I1918
2025-01-06,I1996
2025-01-06,I2059
2025-01-06,I2096
2025-01-06,I2123
2025-01-06,I2133
2025-01-06,I2141
2025-01-06,I2151
2025-01-06,I2165
2025-01-06,I2166
2025-01-06,I2171
2025-01-06,I2190
2025-01-06,I2199
2025-01-06,I2200
2025-01-06,I2211
2025-01-06,I2324
2025-01-06,I2387
2025-01-06,I2389
2025-01-06,I2393
2025-01-13,I0002
2025-01-13,I0041
2025-01-13,I0075
2025-01-13,I0126
2025-01-13,I0157
2025-01-13,I0211
2025-01-13,I0263
2025-01-13,I0275
2025-01-13,I0321
2025-01-13,I0325
2025-01-13,I0348
2025-01-13,I0365
2025-01-13,I0376
2025-01-13,I0420
2025-01-13,I0423
2025-01-13,I0451
2025-01-13,I0487
2025-01-13,I0508
2025-01-13,I0563
2025-01-13,I0577
2025-01-13,I0622
2025-01-13,I0635
2025-01-13,I0657
2025-01-13,I0774
2025-01-13,I0808
2025-01-13,I0810
2025-01-13,I0825
2025-01-13,I0832
2025-01-13,I0850
2025-01-13,I0881
2025-01-13,I0888
2025-01-13,I0910
2025-01-13,I0916
2025-01-13,I0919
2025-01-13,I0930
2025-01-13,I0934
2025-01-13,I0942
2025-01-13,I0968
2025-01-13,I1024
2025-01-13,I1059
2025-01-13,I1061
2025-01-13,I1099
2025-01-13,I1105
2025-01-13,I1116
2025-01-13,I1120
2025-01-13,I1123
2025-01-13,I1128
2025-01-13,I1130
2025-01-13,I1132
2025-01-13,I1145
2025-01-13,I1146
2025-01-13,I1233
2025-01-13,I1277
2025-01-13,I1316
2025-01-13,I1317
2025-01-13,I1335
2025-01-13,I1339
2025-01-13,I1350
2025-01-13,I1351
2025-01-13,I1361
2025-01-13,I1388
2025-01-13,I1404
2025-01-13,I1427
2025-01-13,I1428
2025-01-13,I1442
2025-01-13,I1446
2025-01-13,I1458
2025-01-13,I1463
2025-01-13,I1477
2025-01-13,I1489
2025-01-13,I1509
2025-01-13,I1534
2025-01-13,I1597
2025-01-13,I1600
2025-01-13,I1635
2025-01-13,I1661
2025-01-13,I1689
2025-01-13,I1712
2025-01-13,I1737
2025-01-13,I1746
2025-01-13,I1784
2025-01-13,I1786
2025-01-13,I1788
2025-01-13,I1824
2025-01-13,I1835
2025-01-13,I1843
2025-01-13,I1851
2025-01-13,I1864
2025-01-13,I1867
2025-01-13,I1886
2025-01-13,I1906
2025-01-13,I1918
2025-01-13,I1948
2025-01-13,I1967
2025-01-13,I1969
2025-01-13,I1995
2025-01-13,I2003
2025-01-13,I2022
2025-01-13,I2054
2025-01-13,I2065
2025-01-13,I2072
2025-01-13,I2080
2025-01-13,I2091
2025-01-13,I2101
2025-01-13,I2116
2025-01-13,I2143
2025-01-13,I2155
2025-01-13,I2160
2025-01-13,I2168
2025-01-13,I2187
2025-01-13,I2189
2025-01-13,I2209
2025-01-13,I2248
2025-01-13,I2295
2025-01-13,I2300
2025-01-13,I2341
2025-01-13,I2356
2025-01-13,I2362
2025-01-13,I2370
2025-01-13,I2374
2025-01-20,I0011
2025-01-20,I0075
2025-01-20,I0077
2025-01-20,I0101
