user_id,signup_date
U0001,2024-08-19
U0002,2024-06-03
U0003,2025-03-10
U0004,2024-06-03
U0005,2025-01-13
U0006,2025-02-03
U0007,2025-01-20
U0008,2024-12-30
U0009,2024-04-08
U0010,2025-02-03
U0011,2024-08-26
U0012,2024-09-23
U0013,2025-01-20
U0014,2024-08-26
U0015,2025-01-20
U0016,2024-08-05
U0017,2024-07-08
U0018,2024-06-24
U0019,2025-01-20
U0020,2024-12-16
U0021,2024-07-08
U0022,2025-02-10
U0023,2024-04-29
U0024,2024-12-23
U0025,2025-02-24
U0026,2024-11-18
U0027,2025-01-27
U0028,2024-06-10
U0029,2024-07-08
U0030,2025-02-24
U0031,2025-02-24
U0032,2024-11-25
U0033,2024-06-24
U0034,2024-05-20
U0035,2024-04-29
U0036,2025-02-10
U0037,2025-01-13
U0038,2024-12-16
U0039,2024-09-23
U0040,2024-10-14
U0041,2024-04-29
U0042,2025-03-10
U0043,2024-06-24
U0044,2025-01-27
U0045,2024-12-16
U0046,2025-01-27
U0047,2024-11-04
U0048,2024-04-08
U0049,2025-03-03
U0050,2024-08-26
U0051,2025-03-10
U0052,2024-04-22
U0053,2024-12-16
U0054,2024-10-07
U0055,2024-04-29
U0056,2024-04-01
U0057,2025-02-24
U0058,2024-10-28
U0059,2025-02-17
U0060,2024-06-10
U0061,2024-11-11
U0062,2025-02-17
U0063,2024-12-02
U0064,2024-09-30
U0065,2025-02-24
U0066,2024-07-22
U0067,2024-10-07
U0068,2025-03-03
U0069,2025-01-06
U0070,2024-05-06
U0071,2025-03-10
U0072,2024-07-08
U0073,2025-01-13
U0074,2025-02-10
U0075,2024-07-15
U0076,2024-06-24
U0077,2025-01-27
U0078,2025-01-27
U0079,2024-06-03
U0080,2024-06-17
U0081,2024-04-08
U0082,2025-03-10
U0083,2024-07-08
U0084,2025-01-06
U0085,2025-02-10
U0086,2024-11-25
U0087,2025-02-10
U0088,2024-11-11
U0089,2025-02-10
U0090,2024-06-24
U0091,2025-03-03
U0092,2025-01-13
U0093,2024-08-19
U0094,2024-06-17
U0095,2024-11-18
U0096,2025-02-24
U0097,2024-09-09
U0098,2025-02-03
U0099,2025-03-10
U0100,2025-01-27
U0101,2024-06-10
U0102,2025-02-03
U0103,2024-08-19
U0104,2024-09-23
U0105,2025-01-27
U0106,2025-01-20
U0107,2024-06-24
U0108,2024-10-28
U0109,2024-09-02
U0110,2024-06-17
U0111,2025-01-27
U0112,2024-06-10
U0113,2024-08-19
U0114,2024-09-23
U0115,2025-03-03
U0116,2024-04-15
U0117,2024-06-10
U0118,2025-02-17
U0119,2024-09-23
U0120,2024-07-01
U0121,2024-12-23
U0122,2024-04-22
U0123,2025-02-10
U0124,2024-04-29
U0125,2024-06-10
U0126,2024-11-18
U0127,2024-09-23
U0128,2025-03-03
U0129,2025-02-10
U0130,2024-04-01
U0131,2024-06-17
U0132,2024-09-30
U0133,2024-09-30
U0134,2024-05-06
U0135,2025-02-10
U0136,2025-03-03
U0137,2024-12-30
U0138,2025-02-03
U0139,2024-12-02
U0140,2024-04-29
U0141,2024-07-15
U0142,2025-01-27
U0143,2025-01-27
U0144,2025-01-20
U0145,2025-01-13
U0146,2025-02-10
U0147,2024-06-24
U0148,2025-01-13
U0149,2024-11-11
U0150,2025-02-10
U0151,2024-09-02
U0152,2024-08-26
U0153,2024-06-10
U0154,2025-01-27
U0155,2024-06-03
U0156,2025-01-20
U0157,2024-10-21
U0158,2024-05-27
U0159,2025-01-06
U0160,2024-06-17
U0161,2025-02-10
U0162,2024-09-30
U0163,2024-04-08
U0164,2024-10-28
U0165,2024-12-30
U0166,2024-08-05
U0167,2024-06-10
U0168,2024-04-01
U0169,2025-01-20
U0170,2024-12-30
U0171,2025-02-17
U0172,2024-05-20
U0173,2024-06-24
U0174,2024-06-03
U0175,2024-12-30
U0176,2024-08-19
U0177,2025-02-03
U0178,2025-01-13
U0179,2025-02-24
U0180,2025-02-24
U0181,2024-12-09
U0182,2025-02-03
U0183,2025-03-10
U0184,2024-04-29
U0185,2025-01-20
U0186,2024-08-12
U0187,2024-04-01
U0188,2025-03-10
U0189,2024-04-01
U0190,2025-03-10
U0191,2024-11-04
U0192,2024-08-05
U0193,2025-01-20
U0194,2024-11-04
U0195,2024-11-11
U0196,2024-04-08
U0197,2025-02-03
U0198,2025-03-10
U0199,2025-03-03
U0200,2024-04-08
U0201,2025-02-03
U0202,2025-01-13
U0203,2024-12-09
U0204,2024-10-28
U0205,2024-06-24
U0206,2025-02-17
U0207,2024-12-23
U0208,2025-02-17
U0209,2025-03-10
U0210,2025-01-27
U0211,2025-01-20
U0212,2025-01-06
U0213,2025-02-24
U0214,2024-04-08
U0215,2024-10-28
U0216,2024-04-01
U0217,2024-04-29
U0218,2024-10-14
U0219,2024-10-28
U0220,2024-12-30
U0221,2024-07-22
U0222,2024-06-17
U0223,2025-03-03
U0224,2025-01-13
U0225,2024-11-18
U0226,2025-02-03
U0227,2024-05-13
U0228,2025-02-24
U0229,2024-12-02
U0230,2025-01-13
U0231,2024-04-08
U0232,2024-09-30
U0233,2025-01-20
U0234,2025-01-06
U0235,2024-10-21
U0236,2025-01-13
U0237,2025-01-27
U0238,2024-07-15
U0239,2025-01-13
U0240,2025-02-03
U0241,2024-12-30
U0242,2025-02-24
U0243,2024-06-03
U0244,2025-02-17
U0245,2025-02-24
U0246,2025-01-20
U0247,2024-10-28
U0248,2024-08-26
U0249,2024-11-25
U0250,2025-02-03
U0251,2025-02-17
U0252,2024-11-18
U0253,2024-04-29
U0254,2024-10-21
U0255,2024-08-12
U0256,2024-10-28
U0257,2024-11-04
U0258,2024-06-17
U0259,2024-10-28
U0260,2024-10-07
U0261,2024-11-11
U0262,2025-01-06
U0263,2024-05-06
U0264,2024-11-18
U0265,2024-06-17
U0266,2024-08-26
U0267,2024-05-20
U0268,2025-01-13
U0269,2025-02-17
U0270,2025-02-17
U0271,2025-03-03
U0272,2024-11-11
U0273,2024-09-16
U0274,2024-11-04
U0275,2025-01-06
U0276,2025-01-20
U0277,2024-05-27
U0278,2024-07-22
U0279,2024-12-23
U0280,2024-09-02
U0281,2024-05-13
U0282,2024-09-09
U0283,2024-10-28
U0284,2025-02-10
U0285,2025-03-10
U0286,2024-07-15
U0287,2024-04-01
U0288,2024-04-29
U0289,2025-02-24
U0290,2024-06-03
U0291,2024-07-29
U0292,2025-03-10
U0293,2024-12-02
U0294,2024-10-07
U0295,2024-11-11
U0296,2024-07-15
U0297,2025-02-10
U0298,2025-02-10
U0299,2024-09-16
U0300,2024-06-10
U0301,2025-02-24
U0302,2025-02-17
U0303,2024-11-04
U0304,2024-04-15
U0305,2024-04-08
U0306,2024-08-05
U0307,2025-02-17
U0308,2024-05-13
U0309,2025-02-03
U0310,2024-09-16
U0311,2025-02-24
U0312,2025-01-13
U0313,2024-09-30
U0314,2025-01-13
U0315,2024-05-13
U0316,2024-11-18
U0317,2024-06-17
U0318,2024-12-16
U0319,2025-03-10
U0320,2025-02-24
U0321,2024-06-10
U0322,2024-07-01
U0323,2025-03-10
U0324,2025-03-10
U0325,2025-01-27
