user_id,item_id
U0001,I0125
U0001,I0134
U0001,I0151
U0001,I0157
U0001,I0173
U0001,I0188
U0002,I0512
U0002,I0526
U0002,I0600
U0002,I1229
U0002,I1411
U0002,I1429
U0002,I1430
U0006,I0305
U0006,I0315
U0006,I0343
U0006,I0366
U0006,I0383
U0006,I0384
U0006,I0398
U0006,I0709
U0006,I0718
U0006,I0728
U0006,I0746
U0006,I0752
U0006,I0760
U0006,I0775
U0006,I1430
U0006,I1489
U0008,I1416
U0008,I1466
U0008,I1479
U0008,I1491
U0008,I1494
U0008,I1586
U0009,I0302
U0009,I0310
U0009,I0335
U0009,I0340
U0009,I0382
U0009,I0776
U0009,I1959
U0010,I0651
U0010,I0696
U0010,I0969
U0010,I1008
U0010,I1715
U0010,I1745
U0010,I2008
U0010,I2013
U0010,I2026
U0010,I2038
U0012,I0638
U0012,I0704
U0012,I0706
U0014,I0805
U0014,I0816
U0014,I0840
U0014,I1111
U0014,I2044
U0017,I0118
U0017,I0154
U0017,I0198
U0017,I0517
U0017,I0685
U0017,I1154
U0017,I1215
U0017,I1262
U0017,I1278
U0017,I1288
U0017,I1293
U0020,I0001
U0020,I0109
U0020,I1175
U0020,I1181
U0020,I1332
U0020,I1352
U0020,I1388
U0033,I0209
U0033,I0338
U0033,I1418
U0033,I1443
U0034,I0385
U0034,I0652
U0034,I0685
U0034,I1771
U0036,I0102
U0036,I0105
U0036,I0106
U0036,I0114
U0036,I0119
U0036,I0145
U0036,I0148
U0036,I0162
U0036,I0164
U0036,I0182
U0036,I0191
U0036,I0198
U0036,I0604
U0039,I0912
U0039,I0936
U0039,I1026
U0042,I1391
U0042,I2177
U0048,I0106
U0048,I0182
U0048,I0183
U0048,I0198
U0061,I0696
U0061,I1496
U0061,I1728
U0061,I2207
U0061,I2212
U0061,I2265
U0061,I2271
U0061,I2274
U0061,I2293
U0061,I2317
U0061,I2320
U0061,I2375
U0061,I2393
U0062,I1403
U0062,I1482
U0066,I1758
U0075,I0671
U0075,I0685
U0075,I0822
U0075,I1655
U0075,I1668
U0075,I1680
U0075,I1692
U0076,I0106
U0076,I0109
U0076,I0157
U0076,I0537
U0076,I0800
U0076,I1244
U0077,I0409
U0077,I0418
U0077,I0427
U0077,I0500
U0080,I0143
U0080,I0167
U0080,I0182
U0080,I0190
U0080,I0194
U0080,I0210
U0080,I0235
U0080,I0258
U0080,I0263
U0080,I1526
U0080,I1531
U0080,I1579
U0080,I1582
U0080,I1585
U0084,I0019
U0084,I0029
U0084,I0077
U0084,I0095
U0084,I0105
U0084,I0124
U0084,I0154
U0084,I0198
U0084,I0811
U0084,I0814
U0084,I0820
U0084,I0822
U0084,I0824
U0084,I0864
U0084,I0876
U0084,I0877
U0084,I0891
U0085,I0231
U0085,I0872
U0085,I0894
U0085,I2100
U0086,I0233
U0086,I0670
U0086,I0713
U0086,I1208
U0086,I1601
U0086,I1607
U0086,I1683
U0086,I1845
U0092,I0128
U0092,I0140
U0092,I0199
U0093,I1073
U0093,I1202
U0093,I1225
U0093,I1259
U0093,I1272
U0093,I1282
U0093,I1291
U0093,I1293
U0093,I1296
U0095,I0568
U0095,I1495
U0099,I0304
U0099,I0314
U0099,I0370
U0099,I0390
U0099,I0397
U0099,I1650
U0099,I1816
U0101,I0109
U0101,I0147
U0101,I0173
U0101,I0192
U0101,I0199
U0101,I0775
U0101,I0868
U0101,I0900
U0101,I1058
U0101,I1503
U0101,I1918
U0101,I1938
U0101,I2042
U0104,I1225
U0104,I1292
U0104,I1325
U0104,I2034
U0104,I2091
U0107,I1428
U0107,I1433
U0107,I1454
U0107,I1966
U0107,I2027
U0107,I2085
U0108,I0721
U0108,I0722
U0108,I0741
U0108,I0747
U0108,I0756
U0108,I0790
U0108,I0791
U0108,I0830
U0108,I1411
U0108,I1701
U0108,I1739
U0108,I1795
U0108,I1968
U0114,I1723
U0114,I2090
U0114,I2170
U0114,I2200
U0114,I2391
U0115,I0173
U0115,I0323
U0115,I0357
U0115,I0381
U0115,I0703
U0115,I0713
U0115,I0733
U0115,I0751
U0115,I0766
U0118,I0515
U0118,I0518
U0118,I1117
U0118,I1906
U0120,I0211
U0120,I0222
U0120,I0225
U0120,I0279
U0140,I0206
U0140,I0238
U0140,I0243
U0140,I0248
U0140,I0279
U0140,I0287
U0140,I0292
U0140,I0296
U0140,I0298
U0140,I0299
U0140,I2045
U0140,I2071
U0140,I2075
U0143,I1213
U0143,I1236
U0143,I1284
U0143,I1491
U0146,I1142
U0146,I1735
U0146,I1745
U0146,I1747
U0146,I1764
U0146,I1771
U0149,I0448
U0149,I0624
U0149,I0626
U0149,I0627
U0149,I0637
U0149,I0664
U0149,I1307
U0149,I2361
U0151,I0417
U0151,I0467
U0151,I0488
U0151,I0599
U0151,I1412
U0151,I1430
U0151,I1444
U0151,I1446
U0151,I2313
U0154,I0438
U0154,I0467
U0154,I0475
U0154,I0493
U0154,I0499
U0154,I1418
U0154,I1419
U0154,I1447
U0154,I1454
U0154,I1457
U0156,I1156
U0156,I1983
U0159,I0506
U0159,I0516
U0159,I0571
U0159,I0576
U0159,I0715
U0159,I1073
U0159,I1309
U0159,I1310
U0159,I1319
U0160,I0143
U0160,I0603
U0160,I0605
U0160,I0816
U0160,I0834
U0160,I0889
U0162,I1418
U0162,I1437
U0162,I1449
U0162,I1469
U0164,I0358
U0166,I0698
U0166,I1360
U0166,I1779
U0166,I2391
U0171,I0207
U0171,I0215
U0171,I0226
U0171,I0244
U0171,I0253
U0171,I0261
U0171,I0288
U0171,I0291
U0171,I0296
U0171,I0297
U0171,I0527
U0171,I0529
U0171,I0542
U0171,I0592
U0171,I0600
U0172,I0294
U0172,I0533
U0172,I0593
U0176,I1236
U0176,I1240
U0176,I1245
U0176,I1284
U0176,I1701
U0176,I1703
U0176,I1723
U0176,I1733
U0176,I1735
U0176,I1772
U0176,I1779
U0176,I1793
U0176,I1799
U0177,I0059
U0177,I1658
U0182,I0259
U0182,I0411
U0182,I0438
U0182,I0459
U0182,I0486
U0182,I0696
U0182,I1904
U0183,I0038
U0183,I0065
U0183,I0603
U0183,I2223
U0183,I2277
U0185,I0116
U0185,I0360
U0185,I0397
U0185,I0695
U0185,I1517
U0185,I1522
U0185,I1530
U0194,I1355
U0194,I1370
U0194,I1825
U0195,I0033
U0195,I0039
U0195,I0044
U0195,I0092
U0195,I0323
U0195,I0358
U0195,I0391
U0195,I0450
U0195,I0770
U0195,I0894
U0195,I1492
U0195,I2302
U0195,I2319
U0202,I0506
U0202,I0537
U0202,I0541
U0202,I0566
U0202,I0576
U0202,I1018
U0202,I1716
U0203,I0189
U0203,I0496
U0203,I1372
U0203,I1398
U0203,I1701
U0203,I1757
U0204,I1699
U0206,I0142
U0206,I0146
U0206,I0151
U0206,I0152
U0206,I0182
U0206,I0323
U0207,I0262
U0207,I0296
U0207,I1306
U0207,I1384
U0207,I1388
U0207,I1533
U0207,I1559
U0207,I1588
U0207,I1864
U0207,I1893
U0207,I1894
U0207,I1905
U0207,I1913
U0207,I1918
U0207,I1927
U0207,I1950
U0207,I1955
U0211,I0502
U0211,I0506
U0211,I0508
U0211,I0529
U0211,I0542
U0211,I0576
U0211,I0583
U0211,I0596
U0211,I0732
U0211,I0740
U0211,I0768
U0211,I0772
U0211,I0776
U0211,I1223
U0211,I1968
U0211,I2325
U0211,I2349
U0211,I2390
U0211,I2392
U0211,I2399
U0216,I0383
U0216,I0510
U0216,I0513
U0216,I0519
U0216,I0541
U0216,I0542
U0216,I1225
U0216,I2307
U0216,I2319
U0216,I2355
U0216,I2357
U0216,I2368
U0216,I2386
U0216,I2390
U0216,I2396
U0217,I0264
U0217,I1374
U0217,I2010
U0218,I1617
U0218,I1631
U0218,I1656
U0218,I1695
U0226,I1325
U0226,I1382
U0226,I1544
U0227,I0103
U0227,I0125
U0227,I0139
U0227,I0672
U0227,I1325
U0227,I1345
U0227,I1371
U0227,I1372
U0227,I1381
U0227,I1382
U0227,I2333
U0228,I0210
U0228,I0232
U0228,I0236
U0228,I0243
U0228,I0244
U0228,I0247
U0228,I0272
U0228,I0296
U0228,I0827
U0228,I0852
U0228,I0880
U0228,I1448
U0234,I0006
U0234,I0046
U0234,I0057
U0234,I0067
U0234,I0086
U0234,I0312
U0234,I0323
U0234,I0343
U0234,I0374
U0234,I0458
U0234,I0465
U0234,I0529
U0245,I0667
U0245,I1152
U0245,I1184
U0245,I1198
U0245,I1382
U0245,I1980
U0245,I2284
U0246,I0356
U0246,I0602
U0246,I1114
U0246,I1129
U0246,I1132
U0246,I1137
U0246,I1142
U0246,I1154
U0246,I1184
U0246,I1190
U0250,I0318
U0250,I0354
U0250,I0376
U0250,I0379
U0250,I0389
U0250,I0390
U0250,I0478
U0250,I1351
U0250,I1388
U0250,I1418
U0250,I1432
U0250,I1436
U0250,I1460
U0250,I1464
U0250,I1481
U0250,I1486
U0250,I1492
U0250,I2038
U0250,I2090
U0251,I1660
U0251,I2193
U0258,I0318
U0258,I1307
U0258,I1310
U0258,I1321
U0258,I2076
U0264,I0308
U0264,I0399
U0264,I0573
U0264,I0597
U0264,I1906
U0264,I1912
U0264,I1967
U0264,I1983
U0264,I1998
U0270,I1759
U0274,I0116
U0274,I0182
U0274,I0660
U0274,I1616
U0274,I1632
U0274,I1640
U0274,I1648
U0274,I1665
U0274,I1681
U0274,I1692
U0274,I1923
U0275,I0383
U0275,I1663
U0275,I1702
U0275,I1706
U0275,I1708
U0275,I1715
U0275,I1728
U0275,I1743
U0275,I1754
U0275,I1758
U0275,I1773
U0275,I1789
U0275,I2023
U0275,I2031
U0275,I2039
U0275,I2041
U0275,I2042
U0275,I2044
U0275,I2075
U0276,I0132
U0276,I0142
U0276,I0163
U0276,I0183
U0276,I1382
U0280,I0238
U0280,I0259
U0280,I0285
U0280,I0289
U0280,I1535
U0280,I1547
U0280,I1564
U0287,I0516
U0287,I0517
U0287,I0549
U0287,I0557
U0287,I0599
U0287,I1809
U0287,I2176
U0309,I1234
U0309,I1269
U0309,I1287
U0309,I1943
U0309,I1952
U0325,I0257
U0325,I0296
U0325,I1319
U0329,I0215
U0329,I0252
U0329,I1214
U0329,I1354
U0329,I1395
U0329,I1461
U0330,I0395
U0330,I0559
U0330,I0649
U0330,I0683
U0330,I0699
U0330,I1013
U0330,I2049
U0333,I0312
U0333,I1306
U0333,I1336
U0333,I1365
U0333,I1372
U0333,I1388
U0333,I1393
U0333,I1410
U0334,I0298
U0334,I0502
U0334,I0515
U0334,I0517
U0334,I0523
U0334,I0560
U0334,I0564
U0334,I0567
U0334,I0578
U0334,I0581
U0334,I0591
U0339,I0147
U0339,I0173
U0339,I0182
U0339,I0183
U0339,I0215
U0339,I0216
U0339,I0231
U0339,I0278
U0339,I0365
U0339,I1368
U0339,I1886
U0340,I0216
U0340,I1749
U0359,I0204
U0359,I0219
U0359,I0225
U0359,I0236
U0359,I0237
U0359,I0243
U0359,I0252
U0359,I0255
U0359,I0288
U0359,I0298
U0359,I0299
U0359,I0516
U0359,I0525
U0359,I0530
U0359,I0537
U0359,I0540
U0359,I0598
U0359,I1303
U0359,I1314
U0359,I1339
U0359,I1350
U0359,I1922
U0363,I1001
U0363,I1101
U0363,I1206
U0363,I1231
U0363,I1275
U0363,I1292
U0363,I1672
U0363,I2101
U0363,I2102
U0363,I2132
U0363,I2139
U0363,I2179
U0363,I2185
U0363,I2196
U0364,I1482
U0369,I0215
U0369,I0249
U0369,I0637
U0372,I0743
U0372,I0773
U0372,I1303
U0372,I1360
U0373,I0221
U0373,I0250
U0373,I0527
U0373,I0543
U0373,I0592
U0373,I1130
U0373,I1157
U0373,I1223
U0373,I1413
U0386,I0078
U0386,I0301
U0386,I0315
U0386,I0360
U0386,I0427
U0386,I0438
U0386,I0443
U0386,I0463
U0386,I0482
U0386,I0604
U0386,I0649
U0386,I0663
U0386,I0672
U0386,I1769
U0388,I0173
U0388,I0184
U0388,I0271
U0388,I0280
U0388,I0404
U0388,I0418
U0388,I0441
U0388,I0476
U0388,I0489
U0388,I0625
U0388,I0626
U0388,I0685
U0388,I0688
U0388,I1277
U0401,I0101
U0401,I0167
U0401,I0195
U0401,I2009
U0401,I2100
U0406,I1535
U0406,I1588
U0411,I2090
U0411,I2327
U0411,I2355
U0411,I2376
U0411,I2392
U0411,I2400
U0424,I0633
U0424,I0655
U0424,I1236
U0424,I1278
U0424,I1360
U0424,I1742
U0424,I1753
U0424,I1757
U0424,I1762
U0424,I1771
U0425,I0142
U0425,I1317
U0429,I0090
U0429,I0102
U0429,I0134
U0429,I0179
U0429,I0972
U0429,I1208
U0429,I1209
U0429,I1219
U0429,I1224
U0429,I1231
U0429,I1236
U0429,I1238
U0429,I1263
U0429,I1273
U0429,I1275
U0429,I1402
U0429,I1431
U0431,I0635
U0431,I0902
U0431,I1895
U0431,I1897
U0436,I0068
U0436,I0317
U0436,I0334
U0436,I0350
U0436,I0388
U0436,I1971
U0439,I0525
U0439,I0527
U0439,I0548
U0439,I0557
U0439,I1212
U0439,I1231
U0439,I1234
U0439,I1259
U0439,I1275
U0439,I1278
U0439,I1282
U0440,I0216
U0440,I0230
U0440,I0285
U0440,I0405
U0440,I0473
U0440,I1432
U0440,I2323
U0440,I2329
U0440,I2377
U0440,I2387
U0454,I0427
U0454,I0435
U0454,I0446
U0454,I0462
U0454,I0466
U0454,I1634
U0454,I1692
U0455,I0921
U0455,I0931
U0455,I0935
U0455,I0944
U0455,I0967
U0455,I0989
U0455,I1928
U0455,I1959
U0457,I0144
U0457,I0167
U0457,I0181
U0457,I1018
U0457,I1023
U0457,I1131
U0457,I1145
U0457,I1702
U0463,I0236
U0464,I0463
U0464,I1145
U0464,I2315
U0464,I2368
U0464,I2387
U0464,I2395
U0465,I0353
U0465,I0442
U0465,I0460
U0465,I0484
U0465,I1323
U0465,I1666
U0469,I0206
U0469,I0737
U0469,I0798
U0470,I0002
U0470,I1397
U0470,I1399
U0470,I1550
U0470,I1553
U0470,I1586
U0470,I2204
U0470,I2319
U0474,I0105
U0474,I0198
U0474,I0999
U0474,I1923
U0474,I1969
U0475,I0502
U0475,I0505
U0475,I0506
U0475,I0510
U0475,I0512
U0475,I0516
U0475,I0518
U0475,I0525
U0475,I0529
U0475,I0531
U0475,I0534
U0475,I0536
U0475,I0542
U0475,I0555
U0475,I0559
U0475,I0560
U0475,I0562
U0475,I0568
U0475,I0579
U0475,I0581
U0475,I0593
U0475,I1525
U0480,I0353
U0480,I0455
U0480,I1370
U0482,I0147
U0482,I0199
U0482,I0371
U0483,I0375
U0483,I0380
U0483,I2332
U0483,I2391
U0483,I2395
U0485,I0510
U0485,I0517
U0485,I0546
U0485,I0697
U0485,I1292
U0485,I1379
U0487,I0305
U0487,I0399
U0487,I0476
U0487,I1897
U0487,I2319
U0487,I2329
U0487,I2346
U0487,I2396
U0493,I0650
U0493,I1353
U0493,I1373
U0493,I1379
U0493,I1386
U0496,I0319
U0496,I0323
U0496,I0358
U0496,I1444
U0496,I1816
U0496,I1842
U0496,I1893
U0499,I0207
U0499,I0377
U0499,I0385
U0499,I1247
U0505,I0106
U0505,I0113
U0505,I0135
U0505,I0136
U0505,I0163
U0505,I0181
U0505,I0190
U0505,I0205
U0505,I0216
U0505,I0225
U0505,I0235
U0505,I0252
U0505,I0285
U0505,I0286
U0505,I1312
U0505,I1719
U0505,I2009
U0509,I0165
U0509,I0280
U0520,I0209
U0520,I0214
U0520,I0215
U0520,I0218
U0520,I0243
U0520,I0257
U0520,I0259
U0520,I0285
U0520,I0330
U0520,I0362
U0520,I0370
U0520,I0380
U0520,I1278
U0521,I0206
U0521,I0208
U0521,I0235
U0521,I0280
U0521,I0283
U0521,I0296
U0521,I0298
U0521,I0334
U0521,I0663
U0521,I0670
U0521,I1935
U0525,I0190
U0525,I1802
U0525,I1812
U0525,I1837
U0525,I1892
U0526,I0015
U0526,I1215
U0526,I1274
U0526,I1549
U0526,I1909
U0526,I1966
U0526,I1972
U0526,I2061
U0526,I2067
U0526,I2199
U0526,I2310
U0526,I2355
U0526,I2373
U0528,I1190
U0528,I1192
U0528,I1762
U0528,I1779
U0528,I1784
U0533,I0448
U0533,I0555
U0533,I0838
U0533,I0877
U0533,I1251
U0533,I1447
U0533,I1692
U0536,I1310
U0536,I2006
U0536,I2010
U0536,I2025
U0536,I2049
U0539,I0238
U0539,I1432
U0539,I1480
U0540,I0043
U0540,I0098
U0540,I0120
U0540,I1239
U0540,I1474
U0542,I0998
U0542,I1388
U0542,I1528
U0542,I1571
U0542,I2311
U0542,I2370
U0542,I2383
U0542,I2385
U0542,I2391
U0542,I2393
U0543,I0667
U0543,I1212
U0543,I1238
U0543,I1271
U0543,I1277
U0543,I1278
U0549,I0044
U0549,I1625
U0549,I1633
U0549,I2312
U0554,I0224
U0554,I0259
U0554,I0291
U0554,I1913
U0554,I1927
U0555,I0195
U0555,I0220
U0555,I0243
U0555,I0856
U0555,I1006
U0555,I1211
U0555,I1223
U0555,I1231
U0555,I1236
U0555,I1242
U0555,I1312
U0555,I1932
U0555,I1950
U0555,I1957
U0555,I1999
U0572,I0114
U0572,I0515
U0572,I1304
U0572,I2258
U0573,I0144
U0573,I0228
U0573,I0231
U0573,I1226
U0573,I1229
U0573,I1231
U0573,I1248
U0573,I1253
U0573,I1273
U0573,I1274
U0573,I1280
U0581,I0218
U0581,I0220
U0581,I0240
U0581,I0253
U0581,I0285
U0581,I0299
U0581,I0301
U0581,I0302
U0581,I0310
U0581,I0312
U0581,I0323
U0581,I0342
U0581,I0366
U0581,I0370
U0581,I0378
U0581,I1257
U0584,I0109
U0584,I1701
U0584,I1799
U0585,I0673
U0585,I0685
U0586,I0103
U0586,I0116
U0586,I0126
U0586,I0129
U0586,I0169
U0586,I0171
U0586,I0187
U0586,I0190
U0586,I0330
U0586,I0391
U0587,I0134
U0587,I0138
U0587,I0347
U0587,I0356
U0587,I0383
U0590,I0106
U0590,I0111
U0590,I0123
U0590,I0167
U0590,I0173
U0590,I0174
U0590,I0184
U0590,I0189
U0590,I0190
U0590,I0194
U0590,I1289
U0591,I0380
U0591,I1481
U0601,I0409
U0602,I0624
U0602,I0657
U0602,I0679
U0602,I0970
U0602,I1157
U0602,I1336
U0602,I1725
U0602,I1800
U0602,I2342
U0604,I1269
U0604,I1559
U0604,I1673
U0604,I1685
U0604,I2069
U0608,I2305
U0608,I2358
U0608,I2395
U0613,I0202
U0613,I0218
U0613,I0225
U0613,I0279
U0613,I0299
U0613,I0719
U0613,I0726
U0617,I0738
U0617,I0781
U0618,I0109
U0618,I0111
U0618,I0116
U0618,I0128
U0618,I0179
U0618,I0194
U0620,I0372
U0620,I0373
U0620,I0386
U0620,I0392
U0624,I1224
U0624,I1468
U0624,I1702
U0624,I1729
U0624,I1753
U0626,I0126
U0626,I0376
U0626,I1201
U0629,I1398
U0629,I1463
U0629,I1734
U0636,I1306
U0636,I1384
U0636,I1393
U0636,I2344
U0652,I1556
U0654,I0899
U0656,I0215
U0656,I0216
U0656,I0217
U0656,I0218
U0656,I0229
U0656,I0234
U0656,I0256
U0656,I0279
U0656,I1208
U0656,I1220
U0656,I1227
U0656,I1296
U0656,I1789
U0672,I2175
U0683,I0233
U0683,I0264
U0683,I0272
U0683,I0291
U0686,I0138
U0686,I0156
U0686,I0183
U0686,I2302
U0687,I0226
U0687,I0236
U0687,I0243
U0687,I1523
U0687,I1544
U0687,I1569
U0687,I1833
U0687,I2105
U0688,I0435
U0688,I0446
U0688,I1237
U0688,I1700
U0690,I0304
U0690,I0307
U0690,I0320
U0690,I0343
U0690,I0355
U0690,I0379
U0690,I1837
U0690,I1876
U0692,I0106
U0692,I0112
U0692,I0120
U0692,I0167
U0692,I0182
U0692,I0190
U0692,I0204
U0692,I0207
U0692,I0208
U0692,I0221
U0692,I0230
U0692,I0243
U0692,I0292
U0692,I0294
U0692,I1208
U0692,I1283
U0692,I1420
U0692,I1438
U0692,I1451
U0692,I1475
