strategy_id,arena_id,family,skill,oos_sharpe
S00001,A101,meanrev,0,2.0252
S00002,A134,voltimer,0,0.522
S00003,A074,meanrev,0,-0.1588
S00004,A091,trend,0,0.5866
S00007,A013,voltimer,1,1.4857
S00008,A124,voltimer,0,1.0328
S00009,A060,trend,0,0.3446
S00010,A098,trend,1,1.2856
S00011,A027,trend,0,-0.0248
S00012,A050,breakout,0,1.1328
S00014,A055,breakout,0,-0.2698
S00016,A110,breakout,1,0.6263
S00019,A148,breakout,1,0.939
S00020,A070,trend,0,-1.0411
S00023,A017,breakout,1,1.0453
S00024,A061,meanrev,0,2.2697
S00025,A074,voltimer,1,-0.0497
S00027,A048,breakout,1,1.1368
S00032,A159,meanrev,0,0.089
S00033,A026,meanrev,1,-0.0349
S00035,A110,voltimer,0,1.3396
S00036,A087,trend,0,0.0129
S00038,A028,breakout,0,0.2155
S00039,A002,meanrev,0,1.5618
S00040,A115,meanrev,0,-2.1525
S00041,A122,trend,0,1.4931
S00042,A114,breakout,0,-0.111
S00044,A106,voltimer,0,-0.3567
S00046,A023,breakout,0,0.2617
S00049,A135,breakout,0,0.5647
S00050,A090,trend,0,1.4218
S00052,A090,meanrev,0,0.9942
S00053,A049,breakout,1,-0.0943
S00054,A095,breakout,1,1.5542
S00055,A100,trend,1,1.5503
S00056,A114,voltimer,0,-0.3739
S00057,A042,voltimer,0,0.8745
S00059,A010,trend,0,1.8697
S00060,A042,breakout,0,0.7825
S00063,A041,voltimer,0,3.6538
S00064,A126,trend,1,0.7035
S00065,A049,trend,0,-0.205
S00066,A115,meanrev,1,0.4095
S00070,A024,trend,1,-0.3683
S00071,A048,trend,0,-0.0562
S00072,A069,voltimer,0,0.4997
S00074,A037,voltimer,0,1.3441
S00076,A064,breakout,0,3.2229
S00077,A082,breakout,0,2.4228
S00079,A124,trend,0,0.6432
S00082,A009,voltimer,0,2.0968
S00083,A111,trend,0,0.9084
S00086,A126,breakout,0,0.9393
S00087,A070,breakout,1,0.3044
S00089,A037,breakout,1,2.9607
S00090,A066,breakout,0,-1.0314
S00091,A069,trend,1,0.2178
S00093,A030,meanrev,0,-1.1358
S00094,A148,meanrev,0,-1.147
S00095,A021,trend,0,0.2426
S00097,A051,trend,0,1.7404
S00098,A159,meanrev,0,-0.1771
S00099,A039,trend,0,0.8133
S00101,A023,breakout,1,1.4581
S00105,A021,breakout,0,1.4742
S00106,A021,trend,0,0.9109
